last_name, first_name,player_id,year,xba,xslg,xwoba,xobp,xiso,exit_velocity_avg,launch_angle_avg,barrel_batted_rate,
Gallo, Joey,608336,2020,.192,.418,.317,.310,.226,91.2,26.8,14,
Seager, Corey,608369,2020,.331,.656,.434,.381,.325,93.2,11.9,15.8,
Mondesi, Adalberto,609275,2020,.215,.355,.267,.255,.140,90.6,13.7,7.3,
Reyes, Franmil,614177,2020,.245,.442,.342,.328,.197,92.4,11.2,12.9,
Swanson, Dansby,621020,2020,.267,.474,.354,.341,.206,89.1,14.7,11.4,
Taylor, Chris,621035,2020,.272,.488,.371,.368,.216,88,9.1,11.5,
Correa, Carlos,621043,2020,.255,.404,.316,.321,.149,88.8,11.3,5.9,
Olson, Matt,621566,2020,.224,.453,.340,.336,.230,92.3,19.6,12.8,
Reyes, Victor,622682,2020,.287,.430,.329,.324,.143,90,10.7,3.8,
Alonso, Pete,624413,2020,.226,.466,.335,.323,.240,90.2,15.5,12.8,
Biggio, Cavan,624415,2020,.214,.343,.315,.345,.129,87.4,16.7,5,
Conforto, Michael,624424,2020,.281,.478,.374,.377,.197,88.4,11,11,
Frazier, Adam,624428,2020,.251,.378,.309,.317,.127,85.5,12.3,4,
Cronenworth, Jake,630105,2020,.317,.535,.393,.383,.218,89.8,10.6,10.5,
Anderson, Tim,641313,2020,.293,.508,.358,.330,.215,87.2,6.7,10.1,
Bellinger, Cody,641355,2020,.284,.494,.374,.374,.210,89.3,16.6,9.4,
Crawford, J.P.,641487,2020,.257,.360,.318,.343,.103,85.8,11.5,1.8,
Dozier, Hunter,641531,2020,.235,.385,.331,.351,.150,86.4,17,8.2,
Lewis, Kyle,641786,2020,.239,.433,.344,.347,.194,88.3,11.1,11.7,
McMahon, Ryan,641857,2020,.203,.389,.296,.286,.186,90.1,9.2,11.2,
Smith, Dominic,642086,2020,.303,.566,.392,.365,.264,89.8,10.8,13.3,
Adames, Willy,642715,2020,.229,.394,.307,.305,.165,88.8,12.5,9.9,
Kiner-Falefa, Isiah,643396,2020,.260,.340,.294,.312,.080,87.2,0.8,2.2,
McNeil, Jeff,643446,2020,.277,.407,.337,.355,.130,86.6,11.5,2.5,
Robles, Victor,645302,2020,.205,.280,.262,.284,.075,82.2,19,1.7,
Devers, Rafael,646240,2020,.256,.460,.328,.304,.204,93,10.6,12.1,
Jimenez, Eloy,650391,2020,.278,.540,.364,.317,.262,92.4,5.7,16.5,
Schwarber, Kyle,656941,2020,.224,.441,.340,.340,.218,92.8,8.8,11.2,
Verdugo, Alex,657077,2020,.238,.369,.299,.305,.132,87,5.9,6.4,
White, Evan,657108,2020,.190,.387,.292,.269,.197,91.7,13.7,14.1,
Laureano, Ramon,657656,2020,.230,.403,.338,.353,.173,87.7,12.3,9.4,
Moncada, Yoan,660162,2020,.207,.336,.290,.306,.129,87.8,13.9,6.2,
Acuna Jr., Ronald,660670,2020,.254,.591,.420,.409,.337,92.4,18.6,16,
Riley, Austin,663586,2020,.265,.474,.342,.325,.208,91,13.6,10,
Tucker, Kyle,663656,2020,.261,.449,.327,.318,.188,91.1,14.9,9.1,
Grisham, Trent,663757,2020,.266,.482,.368,.366,.216,88.3,13.5,11.1,
Happ, Ian,664023,2020,.261,.469,.362,.365,.208,91.1,9,10.3,
Lowe, Brandon,664040,2020,.261,.550,.384,.356,.289,89.8,18.1,17.5,
Fletcher, David,664058,2020,.292,.351,.316,.352,.059,84.7,4.1,0.5,
