last_name, first_name,player_id,year,xba,xslg,xwoba,xobp,xiso,exit_velocity_avg,launch_angle_avg,barrel_batted_rate,
Wainwright, Adam,425794,2020,.265,.436,.324,.312,.171,87.3,12,6.3,
Greinke, Zack,425844,2020,.249,.421,.299,.276,.172,86.8,11.7,8.2,
Lester, Jon,452657,2020,.279,.517,.363,.334,.238,88.9,11.9,12.3,
Scherzer, Max,453286,2020,.252,.432,.321,.312,.179,88.5,18.7,8.4,
Cueto, Johnny,456501,2020,.261,.417,.336,.340,.156,87.9,13,5.7,
Lynn, Lance,458681,2020,.208,.350,.279,.279,.142,88.6,17.5,5.4,
Carrasco, Carlos,471911,2020,.222,.368,.300,.304,.146,88,10.3,8.3,
Gibson, Kyle,502043,2020,.284,.452,.360,.370,.169,88.2,6.2,7.2,
Darvish, Yu,506433,2020,.228,.346,.269,.269,.118,88.7,11.9,6.4,
Perez, Martin,527048,2020,.250,.422,.334,.340,.172,86.3,14.3,7.6,
Cole, Gerrit,543037,2020,.198,.381,.274,.252,.183,90.4,16.4,9.1,
Hendricks, Kyle,543294,2020,.237,.383,.274,.258,.146,86.1,11,4.5,
Bauer, Trevor,545333,2020,.163,.287,.225,.223,.124,88.5,20.9,6.3,
Ryu, Hyun Jin,547943,2020,.233,.334,.274,.284,.101,87,9.6,3.2,
Wheeler, Zack,554430,2020,.250,.349,.293,.310,.099,85.7,3.8,3.8,
Boyd, Matthew,571510,2020,.258,.479,.349,.332,.220,87.4,15.4,10.9,
Corbin, Patrick,571578,2020,.289,.470,.344,.332,.180,90.7,11.9,6.5,
Heaney, Andrew,571760,2020,.250,.445,.322,.305,.195,88.6,16.3,7.4,
Keuchel, Dallas,572971,2020,.278,.394,.317,.326,.116,86.8,5.6,4,
deGrom, Jacob,594798,2020,.194,.333,.256,.248,.138,88.2,11.6,9.6,
Gonzales, Marco,594835,2020,.243,.430,.302,.274,.187,86.6,17.6,8.4,
Bassitt, Chris,605135,2020,.242,.390,.301,.297,.149,88.2,12.5,5.9,
Bundy, Dylan,605164,2020,.215,.333,.271,.277,.119,87,14.5,4.6,
Davies, Zach,605200,2020,.269,.476,.344,.321,.207,87.5,14.6,10.3,
Nola, Aaron,605400,2020,.223,.355,.284,.290,.132,88.3,8.6,5.4,
Woodruff, Brandon,605540,2020,.199,.340,.264,.259,.141,86.7,13.3,7.2,
Freeland, Kyle,607536,2020,.284,.436,.344,.346,.152,87.3,7.4,5.6,
Giolito, Lucas,608337,2020,.196,.323,.270,.279,.126,87,15.2,5.6,
Marquez, German,608566,2020,.259,.391,.315,.315,.132,88.8,7.2,4.9,
Mills, Alec,621219,2020,.264,.462,.342,.327,.199,86.9,10.1,9.2,
Berrios, Jose,621244,2020,.248,.400,.323,.329,.152,88.7,14,6.3,
Castillo, Luis,622491,2020,.210,.314,.266,.277,.104,86,2.2,4.5,
Senzatela, Antonio,622608,2020,.273,.429,.330,.325,.156,88.3,9.1,5.4,
Maeda, Kenta,628317,2020,.208,.351,.257,.241,.142,85.3,10.8,7,
Civale, Aaron,650644,2020,.266,.436,.323,.309,.171,87.1,10.4,6.7,
Lamet, Dinelson,659275,2020,.187,.317,.259,.261,.130,88.7,16.9,7.3,
Singer, Brady,663903,2020,.232,.369,.302,.306,.137,88.5,9,4.5,
Valdez, Framber,664285,2020,.239,.379,.302,.298,.140,91.4,-0.8,7.9,
Gallen, Zac,668678,2020,.226,.369,.296,.299,.144,87,12.4,7.2,
Bieber, Shane,669456,2020,.186,.320,.251,.247,.134,89.3,9.6,7.2,
